Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071512900KF,Intel,Core i9-12900KF,1,114,3611,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF
CPU,BX8071512900K,Intel,Core i9-12900K,2,113,19770,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118
CPU,BX8071512900F,Intel,Core i9-12900F,3,112,69,https://cpu.userbenchmark.com/SpeedTest/1757838/12th-Gen-IntelR-CoreTM-i9-12900F
CPU,BX8071512700KF,Intel,Core i7-12700KF,4,112,7635,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF
CPU,BX8071512700K,Intel,Core i7-12700K,5,112,22651,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,BX8071512900,Intel,Core i9-12900,6,111,74,https://cpu.userbenchmark.com/SpeedTest/1668917/12th-Gen-IntelR-CoreTM-i9-12900
CPU,BX8071512600KF,Intel,Core i5-12600KF,7,109,2897,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF
CPU,BX8071512600K,Intel,Core i5-12600K,8,108,15295,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120
CPU,BX8071512700F,Intel,Core i7-12700F,9,108,646,https://cpu.userbenchmark.com/Intel-Core-i7-12700F/Rating/4124
CPU,BX8071512700,Intel,Core i7-12700,10,108,944,https://cpu.userbenchmark.com/SpeedTest/1750830/12th-Gen-IntelR-CoreTM-i7-12700
CPU,,Intel,Core i7-12650HX,11,104,1,https://cpu.userbenchmark.com/SpeedTest/1798547/12th-Gen-IntelR-CoreTM-i7-12650HX
CPU,BX8070811900K,Intel,Core i9-11900K,12,103,22520,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,BX8070811900KF,Intel,Core i9-11900KF,13,103,4390,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,14,102,132994,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,15,102,53898,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8071512600,Intel,Core i5-12600,16,102,414,https://cpu.userbenchmark.com/SpeedTest/1751978/12th-Gen-IntelR-CoreTM-i5-12600
CPU,BX8070811700K,Intel,Core i7-11700K,17,102,40771,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,BX8070811700KF,Intel,Core i7-11700KF,18,100,11025,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,19,99.7,226089,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX80684I99900KS,Intel,Core i9-9900KS,20,99.5,13925,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,,AMD,Ryzen 9 5900,21,99.4,631,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,BX8070110900KF,Intel,Core i9-10900KF,22,99.4,21221,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,BX8070811600K,Intel,Core i5-11600K,23,99.3,22185,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,BX8070110900K,Intel,Core i9-10900K,24,99.2,77356,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX8070811600,Intel,Core i5-11600,25,98.8,1773,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,BX8070811900,Intel,Core i9-11900,26,98.8,2696,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz
CPU,BX8070811900F,Intel,Core i9-11900F,27,98.8,2644,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,BX8070110850K,Intel,Core i9-10850K,28,98.8,61520,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,BX8070811600KF,Intel,Core i5-11600KF,29,98.4,4632,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,BX8071512500,Intel,Core i5-12500,30,98.2,467,https://cpu.userbenchmark.com/Intel-Core-i5-12500/Rating/4123
CPU,,Intel,Core i9-12900HK,31,98.1,120,https://cpu.userbenchmark.com/SpeedTest/1763927/12th-Gen-IntelR-CoreTM-i9-12900HK
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,32,97,287761,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
